iter	RMSE
0	14.23565784
1	13.32295976
2	12.47648582
3	11.70299773
4	11.03907059
5	10.50635478
6	9.983117682
7	9.491779151
8	9.078888861
9	8.67893027
10	8.298723649
11	7.981928753
12	7.699295791
13	7.438193101
14	7.199784567
15	6.977578826
16	6.796479529
17	6.623939744
18	6.482383404
19	6.363229535
20	6.260268435
21	6.164370185
22	6.062096847
23	5.969523973
24	5.881255372
25	5.820345445
26	5.749258246
27	5.698345578
28	5.646202539
29	5.596400984
30	5.55204295
31	5.514673282
32	5.476940307
33	5.445399352
34	5.407604122
35	5.367210599
36	5.341854134
37	5.318296419
38	5.289903169
39	5.266860627
40	5.252879592
41	5.237745257
42	5.218498452
43	5.20910013
44	5.189449199
45	5.168435244
46	5.148743711
47	5.135778079
48	5.123794303
49	5.110402141
50	5.096174391
51	5.083165974
52	5.064713539
53	5.050941509
54	5.041556072
55	5.032801041
56	5.024473507
57	5.019591815
58	5.004483703
59	4.994599895
60	4.979811157
61	4.963768504
62	4.954193931
63	4.944459228
64	4.942821455
65	4.934899361
66	4.93117275
67	4.924078773
68	4.909268749
69	4.902171716
70	4.889930422
71	4.884393377
72	4.877565801
73	4.872308553
74	4.861173515
75	4.850579275
76	4.843166219
77	4.834122515
78	4.812609834
79	4.802989668
80	4.791453027
81	4.786486811
82	4.783109289
83	4.77866291
84	4.755500908
85	4.748047974
86	4.741076307
87	4.736495028
88	4.732668783
89	4.724788212
90	4.720765216
91	4.717874279
92	4.711277727
93	4.702606693
94	4.683470228
95	4.677528713
96	4.674389319
97	4.657607356
98	4.6525757
99	4.644222056
