iter	Passed	Remaining
0	1	110
1	1	69
2	1	56
3	2	49
4	2	44
5	2	41
6	2	39
7	3	37
8	3	35
9	3	34
10	4	33
11	4	32
12	4	31
13	5	31
14	5	30
15	5	29
16	5	29
17	6	28
18	6	27
19	6	27
20	7	26
21	7	26
22	7	25
23	8	25
24	8	25
25	8	24
26	8	24
27	9	23
28	9	23
29	9	22
30	10	22
31	10	22
32	10	21
33	11	21
34	11	21
35	11	20
36	11	20
37	12	20
38	12	19
39	12	19
40	13	18
41	13	18
42	13	18
43	13	17
44	14	17
45	14	16
46	14	16
47	15	16
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	17	14
55	17	13
56	17	13
57	17	13
58	18	12
59	18	12
60	18	12
61	19	11
62	19	11
63	19	11
64	19	10
65	20	10
66	20	10
67	20	9
68	21	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	23	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	27	2
93	28	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	29	0
