iter	Passed	Remaining
0	48	48238
1	48	24351
2	49	16354
3	49	12374
4	50	9967
5	50	8366
6	50	7221
7	51	6366
8	51	5698
9	52	5163
10	52	4720
11	52	4353
12	53	4043
13	53	3780
14	54	3552
15	54	3353
16	54	3176
17	55	3018
18	55	2874
19	56	2746
20	56	2630
21	56	2525
22	57	2428
23	57	2341
24	57	2261
25	58	2192
26	58	2122
27	59	2055
28	59	1997
29	60	1943
30	60	1890
31	60	1840
32	61	1793
33	61	1748
34	61	1707
35	62	1666
36	62	1628
37	62	1594
38	63	1562
39	63	1530
40	64	1499
41	64	1470
42	64	1443
43	65	1416
44	65	1392
45	66	1369
46	66	1349
47	67	1328
48	67	1308
49	67	1289
50	68	1270
51	68	1250
52	68	1231
53	69	1212
54	69	1196
55	69	1179
56	70	1163
57	70	1147
58	70	1132
59	71	1116
60	71	1102
61	71	1088
62	72	1075
63	72	1062
64	72	1049
65	73	1037
66	73	1026
67	74	1021
68	74	1011
69	75	1000
70	75	989
71	75	979
72	76	968
73	76	959
74	76	949
75	77	939
76	77	929
77	77	920
78	78	911
79	78	903
80	78	895
81	79	887
82	79	877
83	79	869
84	80	862
85	80	854
86	80	847
87	81	840
88	81	834
89	81	828
90	82	821
91	82	815
92	82	809
93	83	803
94	83	797
95	84	791
96	84	786
97	84	780
98	85	774
99	85	768
100	85	763
101	86	758
102	86	752
103	86	747
104	87	742
105	87	737
106	87	733
107	88	728
108	88	723
109	88	719
110	89	716
111	89	713
112	90	708
113	90	704
114	90	699
115	91	695
116	91	690
117	91	686
118	92	682
119	92	677
120	92	673
121	93	669
122	93	665
123	93	661
124	94	658
125	94	654
126	94	650
127	94	646
128	95	643
129	95	641
130	96	637
131	96	634
132	96	631
133	97	628
134	97	625
135	97	622
136	98	618
137	98	615
138	98	612
139	99	609
140	99	606
141	99	602
142	100	599
143	100	596
144	100	593
145	100	590
146	101	587
147	101	584
148	101	581
149	102	578
150	102	575
151	102	572
152	102	569
153	103	567
154	103	564
155	103	561
156	104	559
157	104	556
158	104	554
159	105	551
160	105	548
161	105	546
162	105	543
163	106	541
164	106	538
165	106	536
166	107	534
